skill
Data Analysis
Business Analysis
Business Analytics
Product Analytics
Marketing Analytics
Customer Analytics
Sales Analytics
Financial Analytics
Operations Analytics
Supply Chain Analytics
People Analytics
HR Analytics
Web Analytics
Digital Analytics
Retail Analytics
Healthcare Analytics
Risk Analytics
Fraud Analytics
Predictive Analytics
Prescriptive Analytics
Diagnostic Analytics
Descriptive Analytics
Exploratory Data Analysis
EDA
Data Exploration
Data Interpretation
Statistical Analysis
Quantitative Analysis
Qualitative Analysis
Trend Analysis
Root Cause Analysis
Gap Analysis
Cohort Analysis
Churn Analysis
Behavioral Analytics
Attribution Analysis
Sentiment Analysis
Time Series Analysis
Forecasting
Demand Forecasting
Sales Forecasting
Revenue Forecasting
Customer Segmentation
Market Basket Analysis
Recommendation Analytics
A/B Testing
Split Testing
Multivariate Testing
Experiment Design
Hypothesis Testing
Statistical Significance
Confidence Interval
P Value
ANOVA
Chi Square Test
T Test
Z Test
Regression Analysis
Linear Regression
Logistic Regression
Correlation Analysis
Covariance
Variance
Standard Deviation
Probability
Probability Distribution
Normal Distribution
Binomial Distribution
Poisson Distribution
Bayesian Statistics
Bayesian Analysis
Monte Carlo Simulation
Sampling
Random Sampling
Stratified Sampling
Population Statistics
Inferential Statistics
Descriptive Statistics
KPI
KPIs
OKRs
Business Metrics
Performance Metrics
Dashboard Design
Interactive Dashboards
Executive Dashboard
Operational Dashboard
Scorecards
Reporting
Business Reporting
Management Reporting
Self Service BI
Business Intelligence
BI
Data Storytelling
Storytelling with Data
Insight Generation
Decision Support
Decision Intelligence
Data Driven Decision Making
Excel
Microsoft Excel
Advanced Excel
Pivot Tables
Pivot Charts
Power Query
Power Pivot
VLOOKUP
XLOOKUP
INDEX MATCH
Conditional Formatting
Data Validation
Solver
Goal Seek
Macros
VBA
Google Sheets
Looker Studio
Google Data Studio
Power BI
Power BI Desktop
Power BI Service
Power Query M
DAX
Tableau
Tableau Desktop
Tableau Server
Tableau Prep
Looker
LookML
Qlik Sense
QlikView
Sisense
Metabase
Apache Superset
MicroStrategy
IBM Cognos
SAP BusinessObjects
Oracle BI
ThoughtSpot
Mode Analytics
Chart Design
Data Visualization
Visual Analytics
Bar Chart
Line Chart
Scatter Plot
Heatmap
Treemap
Box Plot
Histogram
Pie Chart
Bubble Chart
Waterfall Chart
Funnel Chart
Geospatial Analysis
Maps Visualization
GIS Analytics
Location Intelligence
Customer Journey Analytics
Product Performance Analysis
Revenue Analysis
Profitability Analysis
Pricing Analysis
Campaign Analysis
SEO Analytics
Social Media Analytics
Conversion Rate Optimization
CRO
Funnel Analysis
Retention Analysis
Lifetime Value
Customer Lifetime Value
CLV
Customer Acquisition Cost
CAC
Return on Investment
ROI
Net Present Value
NPV
Internal Rate of Return
IRR
Variance Analysis
Budget Analysis
Cost Analysis
Margin Analysis
Inventory Analysis
Operational Excellence
Benchmarking
Balanced Scorecard
Executive Reporting
Ad Hoc Reporting
SQL Analytics
SQL Reporting
Data Mining
Knowledge Discovery
OLAP
Cube Analysis
Data Quality Assessment
Data Profiling
Data Auditing
Business Process Analysis
Requirements Analysis
Process Mapping
Process Improvement
Lean Analytics
Six Sigma Analytics
DMAIC
Kanban Metrics
Agile Metrics
Scrum Metrics
Burndown Chart
Velocity Tracking
Capacity Planning
Workforce Planning
Scenario Analysis
Sensitivity Analysis
Decision Trees
Optimization Analysis
Risk Modeling
Portfolio Analysis
Credit Risk Analysis
